% ke11   H2    Excitation    8.90 eV
% e + H2 -> e + H2(B3SIGMA)(8.9eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.2612E-24
0.7547	0.8749E-21
1.027	0.1235E-18
1.440	0.2544E-17
2.024	0.1649E-16
2.641	0.4923E-16
3.202	0.1026E-15
3.674	0.1718E-15
4.074	0.2533E-15
4.426	0.3450E-15
4.745	0.4456E-15
5.044	0.5543E-15
5.333	0.6704E-15
5.616	0.7932E-15
5.899	0.9219E-15
6.185	0.1056E-14
6.478	0.1194E-14
6.779	0.1336E-14
7.091	0.1480E-14
7.416	0.1626E-14
7.757	0.1773E-14
8.114	0.1919E-14
8.493	0.2065E-14
8.893	0.2208E-14
9.318	0.2348E-14
9.770	0.2485E-14
10.25	0.2616E-14
10.77	0.2742E-14
11.33	0.2861E-14
11.93	0.2973E-14
12.57	0.3077E-14
13.26	0.3170E-14
14.02	0.3256E-14
14.83	0.3330E-14
