% ke15   H2    Excitation    12.40 eV
% e + H2 -> e + H2(C1PI)(12.40eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.1823E-30
0.7547	0.4394E-24
1.027	0.2885E-21
1.440	0.1708E-19
2.024	0.2777E-18
2.641	0.1267E-17
3.202	0.4145E-17
3.674	0.9984E-17
4.074	0.1983E-16
4.426	0.3468E-16
4.745	0.5548E-16
5.044	0.8309E-16
5.333	0.1184E-15
5.616	0.1621E-15
5.899	0.2150E-15
6.185	0.2779E-15
6.478	0.3513E-15
6.779	0.4359E-15
7.091	0.5324E-15
7.416	0.6414E-15
7.757	0.7633E-15
8.114	0.8983E-15
8.493	0.1048E-14
8.893	0.1212E-14
9.318	0.1390E-14
9.770	0.1585E-14
10.25	0.1795E-14
10.77	0.2020E-14
11.33	0.2263E-14
11.93	0.2523E-14
12.57	0.2800E-14
13.26	0.3093E-14
14.02	0.3404E-14
14.83	0.3731E-14
