Angular field frequency / N (m3/s)        0.1500E-13
Gas temperature (K)                        3000.    
Ionization degree                          0.000    
Electron density (1/m3)                   0.5000E+19
Wave number / N (m2)                       0.000    
Longitudinal diffusion                     0.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  3.000    
Precision                                 0.1000E-12
Convergence                               0.1000E-04
Maximum # of iterations                    100.0    
Mole fraction Ar                          0.9800    
Mole fraction H                            0.000    
Mole fraction H2                          0.2000E-01


Energy (eV) 	Electric field / N (Td)                                         
10.91	0.5973E+24
11.15	0.5920E+24
11.40	0.5871E+24
11.66	0.5823E+24
11.92	0.5779E+24
12.20	0.5733E+24
12.48	0.5687E+24
12.77	0.5648E+24
13.07	0.5599E+24
13.38	0.5563E+24
13.71	0.5524E+24
14.03	0.5484E+24
14.36	0.5435E+24
14.72	0.5407E+24
15.09	0.5371E+24
15.45	0.5334E+24
15.82	0.5289E+24
16.22	0.5256E+24
16.62	0.5224E+24
17.04	0.5193E+24
17.46	0.5157E+24
17.89	0.5120E+24
18.34	0.5086E+24
18.80	0.5058E+24
19.28	0.5027E+24
19.74	0.4986E+24
20.24	0.4957E+24
20.76	0.4934E+24
21.27	0.4895E+24
21.80	0.4865E+24
22.35	0.4839E+24
22.92	0.4811E+24
23.47	0.4773E+24
24.06	0.4748E+24
24.67	0.4724E+24
25.28	0.4697E+24
25.89	0.4662E+24
26.52	0.4633E+24
27.19	0.4612E+24
27.88	0.4593E+24


Energy (eV)	Diffusion coefficient x N (1/m/s)
0.9224E-01	0.7629E+23
0.1664	0.1707E+24
0.7690	0.2353E+25
1.725	0.4789E+25
3.104	0.5628E+25
4.206	0.5621E+25
4.786	0.5527E+25
5.127	0.5463E+25
5.373	0.5422E+25
5.578	0.5390E+25
5.762	0.5363E+25
5.935	0.5340E+25
6.099	0.5320E+25
6.258	0.5302E+25
6.412	0.5287E+25
6.563	0.5275E+25
6.711	0.5265E+25
6.857	0.5257E+25
7.002	0.5250E+25
7.146	0.5247E+25
7.290	0.5244E+25
7.435	0.5245E+25
7.582	0.5245E+25
7.730	0.5248E+25
7.880	0.5252E+25
8.034	0.5258E+25
8.191	0.5265E+25
8.350	0.5270E+25
8.515	0.5281E+25
8.683	0.5292E+25
8.856	0.5304E+25
9.034	0.5318E+25
9.217	0.5334E+25
9.405	0.5347E+25
9.602	0.5370E+25
9.800	0.5386E+25
10.01	0.5413E+25
10.22	0.5434E+25
10.44	0.5463E+25
10.67	0.5489E+25
10.91	0.5522E+25
11.15	0.5553E+25
11.40	0.5586E+25
11.66	0.5621E+25
11.92	0.5662E+25
12.20	0.5703E+25
12.48	0.5746E+25
12.77	0.5797E+25
13.07	0.5840E+25
13.38	0.5896E+25
13.71	0.5951E+25
14.03	0.6005E+25
14.36	0.6054E+25
14.72	0.6132E+25
15.09	0.6200E+25
15.45	0.6266E+25
15.82	0.6325E+25
16.22	0.6402E+25
16.62	0.6486E+25
17.04	0.6572E+25
17.46	0.6655E+25
17.89	0.6735E+25
18.34	0.6826E+25
18.80	0.6928E+25
19.28	0.7029E+25
19.74	0.7116E+25
20.24	0.7225E+25
20.76	0.7346E+25
21.27	0.7442E+25
21.80	0.7555E+25
22.35	0.7679E+25
22.92	0.7801E+25
23.47	0.7905E+25
24.06	0.8039E+25
24.67	0.8180E+25
25.28	0.8314E+25
25.89	0.8437E+25
26.52	0.8576E+25
27.19	0.8738E+25
27.88	0.8908E+25


Energy (eV)	Longitudinal dif. coef. x N (1/m/s)
0.9224E-01	0.000
0.1664	0.000
0.7690	0.000
1.725	0.000
3.104	0.000
4.206	0.000
4.786	0.000
5.127	0.000
5.373	0.000
5.578	0.000
5.762	0.000
5.935	0.000
6.099	0.000
6.258	0.000
6.412	0.000
6.563	0.000
6.711	0.000
6.857	0.000
7.002	0.000
7.146	0.000
7.290	0.000
7.435	0.000
