% [k4] 
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	0
0.522238341849	0
0.622902408171	0
0.733601346462	0
0.859588664742	0
1.00955963517	1.93459504328e-23
1.19592332247	2.99305306815e-22
1.42941655824	2.46731553647e-21
1.70921504014	1.31545987274e-20
2.02136574951	5.00969581386e-20
2.34496542084	1.50336125547e-19
2.66050278874	3.70473998111e-19
2.95683541499	7.82530431325e-19
3.23000345936	1.48588545468e-18
3.47842796915	2.59170534615e-18
3.70588798621	4.21548424489e-18
3.91499046216	6.4877550703e-18
4.10836669394	9.54716985734e-18
4.29078211498	1.35566575149e-17
4.46180877456	1.86445130949e-17
4.62603974303	2.49791804097e-17
4.78360391325	3.27237983635e-17
4.93703419255	4.2009718752e-17
5.08637102087	5.31080405365e-17
5.23346754452	6.59350704028e-17
5.37908732696	8.09935883773e-17
5.52226917185	9.82489442107e-17
5.66644639581	1.17901319494e-16
5.80968043376	1.40092677498e-16
5.95427373713	1.65166815767e-16
6.09862121964	1.93011159205e-16
6.2447103458	2.2393846567e-16
6.39402371485	2.58364680121e-16
6.54408814235	2.9601443473e-16
6.69710615488	3.37497675272e-16
6.84956906189	3.82090203511e-16
7.00928141074	4.31228948485e-16
7.17097887006	4.84473301048e-16
7.33617033419	5.41712658711e-16
7.50449579219	6.03407588357e-16
7.67741027063	6.69896611866e-16
7.85444004651	7.41679630937e-16
8.03481737707	8.17199929593e-16
8.22293235551	8.98893690495e-16
8.416120857	9.85179618371e-16
8.61563594945	1.07795535741e-15
8.81403689504	1.17480293142e-15
9.02706533859	1.27904730055e-15
9.24467040556	1.38804359824e-15
9.49547252404	1.51385667626e-15
9.69671257662	1.62473924351e-15
9.96806032135	1.76616406315e-15
10.2204907302	1.90352483255e-15
10.474651148	2.04458858757e-15
10.7428689829	2.19439029765e-15
11.022039333	2.35188047344e-15
11.3018979175	2.51253078219e-15
11.6031631046	2.68464651335e-15
11.9129165115	2.86447240487e-15
12.2335937439	3.04940642646e-15
12.5563830004	3.23827022611e-15
12.9143556248	3.44763633644e-15
13.2677168087	3.65359462321e-15
13.6447580749	3.87185028545e-15
14.036547476	4.09643308616e-15
14.4442095322	4.33004687105e-15
14.8629586723	4.56961841341e-15
15.2919488909	4.81087778735e-15
15.7547719184	5.06924887901e-15
16.2340046889	5.33539990052e-15
16.7275845555	5.60647797769e-15
17.2415037225	5.88282782239e-15
17.7912410447	6.18045457754e-15
18.3480173979	6.47272749098e-15
18.9160709324	6.76621261356e-15
19.5163088957	7.06998750543e-15
20.1418257118	7.38188560375e-15
20.797761974	7.70322324669e-15
21.4816122559	8.03005991703e-15
