% [k8] 
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	4.29794917212e-21
0.0840873685459	7.7610545655e-20
0.125957555506	8.31375604743e-19
0.186548660547	4.7615760628e-18
0.26011765289	1.67759340812e-17
0.341462918206	4.31118155735e-17
0.428818810648	9.06119265855e-17
0.522238341849	1.6652849857e-16
0.622902408171	2.7804058694e-16
0.733601346462	4.321636253e-16
0.859588664742	6.34487065215e-16
1.00955963517	8.87725052251e-16
1.19592332247	1.18807154847e-15
1.42941655824	1.52070853764e-15
1.70921504014	1.85769984366e-15
2.02136574951	2.17049693378e-15
2.34496542084	2.43737285795e-15
2.66050278874	2.65148740224e-15
2.95683541499	2.81554352907e-15
3.23000345936	2.93932927583e-15
3.47842796915	3.02977955064e-15
3.70588798621	3.09508806413e-15
3.91499046216	3.14159310862e-15
4.10836669394	3.17347104755e-15
4.29078211498	3.19425962555e-15
4.46180877456	3.2065225564e-15
4.62603974303	3.21167845503e-15
4.78360391325	3.21135212443e-15
4.93703419255	3.20662417432e-15
5.08637102087	3.19805864876e-15
5.23346754452	3.18885649065e-15
5.37908732696	3.17521677408e-15
5.52226917185	3.15906643061e-15
5.66644639581	3.14123726958e-15
5.80968043376	3.12175205807e-15
5.95427373713	3.10042207983e-15
6.09862121964	3.07768958438e-15
6.2447103458	3.05419673895e-15
6.39402371485	3.02927308306e-15
6.54408814235	3.00389451001e-15
6.69710615488	2.97705228983e-15
6.84956906189	2.94958833862e-15
7.00928141074	2.92148407654e-15
7.17097887006	2.89269566107e-15
7.33617033419	2.86334500458e-15
7.50449579219	2.83314006096e-15
7.67741027063	2.80313610263e-15
7.85444004651	2.77149979526e-15
8.03481737707	2.74038856303e-15
8.22293235551	2.70810640741e-15
8.416120857	2.67601278564e-15
8.61563594945	2.64397544853e-15
8.81403689504	2.61124851074e-15
9.02706533859	2.57743732485e-15
9.24467040556	2.54416672293e-15
9.49547252404	2.51241243721e-15
9.69671257662	2.47645730989e-15
9.96806032135	2.44463010153e-15
10.2204907302	2.41009023961e-15
10.474651148	2.3761932568e-15
10.7428689829	2.34107721041e-15
11.022039333	2.30663375746e-15
11.3018979175	2.27267777974e-15
11.6031631046	2.2372297908e-15
11.9129165115	2.20170215834e-15
12.2335937439	2.16754432234e-15
12.5563830004	2.13368709898e-15
12.9143556248	2.09827443348e-15
13.2677168087	2.06448304171e-15
13.6447580749	2.02951036064e-15
14.036547476	1.99440334855e-15
14.4442095322	1.95993411732e-15
14.8629586723	1.92609291993e-15
15.2919488909	1.89371011631e-15
15.7547719184	1.85871073105e-15
16.2340046889	1.82463447971e-15
16.7275845555	1.79082374476e-15
17.2415037225	1.75853558576e-15
17.7912410447	1.72547421836e-15
18.3480173979	1.69343689232e-15
18.9160709324	1.661588337e-15
19.5163088957	1.63053184166e-15
20.1418257118	1.59969674916e-15
20.797761974	1.56797710726e-15
21.4816122559	1.53696149168e-15
