% [k6] 
% eV	1/(m^3*s)
0.0384444805172	7.20910848882e-18
0.0385403832069	7.24396449e-18
0.0392000885323	7.51759198843e-18
0.0415522790951	8.37268488076e-18
0.047476791415	1.08761806471e-17
0.0599583522965	1.64058182298e-17
0.0840873685459	2.79092121549e-17
0.125957555506	4.95267062864e-17
0.186548660547	8.5361158666e-17
0.26011765289	1.36314786706e-16
0.341462918206	2.03082486483e-16
0.428818810648	2.86891817386e-16
0.522238341849	3.89695991653e-16
0.622902408171	5.14050028365e-16
0.733601346462	6.64151841648e-16
0.859588664742	8.45811292143e-16
1.00955963517	1.06601068584e-15
1.19592332247	1.33068160974e-15
1.42941655824	1.6381113668e-15
1.70921504014	1.97239520198e-15
2.02136574951	2.30965229795e-15
2.34496542084	2.62538985931e-15
2.66050278874	2.90568162023e-15
2.95683541499	3.14518421967e-15
3.23000345936	3.34858432475e-15
3.47842796915	3.51862245451e-15
3.70588798621	3.66207495661e-15
3.91499046216	3.78399732955e-15
4.10836669394	3.88820083368e-15
4.29078211498	3.97905018425e-15
4.46180877456	4.05808207829e-15
4.62603974303	4.12820887631e-15
4.78360391325	4.1905253598e-15
4.93703419255	4.24689536321e-15
5.08637102087	4.29758348126e-15
5.23346754452	4.34365741927e-15
5.37908732696	4.38622310293e-15
5.52226917185	4.42465965637e-15
5.66644639581	4.46051953977e-15
5.80968043376	4.49372428335e-15
5.95427373713	4.52415750143e-15
6.09862121964	4.55193160482e-15
6.2447103458	4.57862508776e-15
6.39402371485	4.60319877908e-15
6.54408814235	4.62663859056e-15
6.69710615488	4.64768525064e-15
6.84956906189	4.66648197243e-15
7.00928141074	4.6858709924e-15
7.17097887006	4.70295980216e-15
7.33617033419	4.71894859571e-15
7.50449579219	4.7332633505e-15
7.67741027063	4.74792271507e-15
7.85444004651	4.75948751321e-15
8.03481737707	4.77077055533e-15
8.22293235551	4.78101046387e-15
8.416120857	4.79091234935e-15
8.61563594945	4.80110231359e-15
8.81403689504	4.80701710979e-15
9.02706533859	4.81388017763e-15
9.24467040556	4.82019881775e-15
9.49547252404	4.83170956996e-15
9.69671257662	4.82786497046e-15
9.96806032135	4.84000982035e-15
10.2204907302	4.84271798897e-15
10.474651148	4.84409720754e-15
10.7428689829	4.84461643877e-15
11.022039333	4.84501042803e-15
11.3018979175	4.84355125288e-15
11.6031631046	4.84209100291e-15
11.9129165115	4.83858159989e-15
12.2335937439	4.83610755445e-15
12.5563830004	4.83103573097e-15
12.9143556248	4.82854751323e-15
13.2677168087	4.82253361888e-15
13.6447580749	4.81608105826e-15
14.036547476	4.80924189879e-15
14.4442095322	4.80146570338e-15
14.8629586723	4.79243500788e-15
15.2919488909	4.78404055988e-15
15.7547719184	4.77389440415e-15
16.2340046889	4.7627742207e-15
16.7275845555	4.75009303332e-15
17.2415037225	4.73927795607e-15
17.7912410447	4.72904767118e-15
18.3480173979	4.7158089569e-15
18.9160709324	4.70060380649e-15
19.5163088957	4.68643420462e-15
20.1418257118	4.67140108622e-15
20.797761974	4.65493901432e-15
21.4816122559	4.63874353656e-15
