% [k2] Ionization
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	1.74765859221e-20
0.522238341849	3.86793914555e-19
0.622902408171	4.45183020476e-18
0.733601346462	3.21626463665e-17
0.859588664742	1.62798688828e-16
1.00955963517	6.16286763631e-16
1.19592332247	1.81470360893e-15
1.42941655824	4.27874603187e-15
1.70921504014	8.32932676207e-15
2.02136574951	1.385916361e-14
2.34496542084	2.03891207956e-14
2.66050278874	2.7364427679e-14
2.95683541499	3.4298670428e-14
3.23000345936	4.09773306086e-14
3.47842796915	4.72276068054e-14
3.70588798621	5.30559082563e-14
3.91499046216	5.84619548066e-14
4.10836669394	6.34811110476e-14
4.29078211498	6.82023222445e-14
4.46180877456	7.26034866336e-14
4.62603974303	7.67916360741e-14
4.78360391325	8.07592988729e-14
4.93703419255	8.45675439481e-14
5.08637102087	8.82074059427e-14
5.23346754452	9.17177493171e-14
5.37908732696	9.51301442798e-14
5.52226917185	9.84172559622e-14
5.66644639581	1.01629914777e-13
5.80968043376	1.04767418921e-13
5.95427373713	1.07831317737e-13
6.09862121964	1.10810384816e-13
6.2447103458	1.13767253235e-13
6.39402371485	1.16673436782e-13
6.54408814235	1.19543156333e-13
6.69710615488	1.22350147388e-13
6.84956906189	1.25063403792e-13
7.00928141074	1.27851204565e-13
7.17097887006	1.30548871137e-13
7.33617033419	1.3321955881e-13
7.50449579219	1.35844555163e-13
7.67741027063	1.3849247616e-13
7.85444004651	1.41051516134e-13
8.03481737707	1.43576248982e-13
8.22293235551	1.46113265205e-13
8.416120857	1.4863192454e-13
8.61563594945	1.51178719035e-13
8.81403689504	1.53520029748e-13
9.02706533859	1.55987103609e-13
9.24467040556	1.58404104938e-13
9.49547252404	1.61094107719e-13
9.69671257662	1.63042629507e-13
9.96806032135	1.65806058577e-13
10.2204907302	1.68133358975e-13
10.474651148	1.70355507742e-13
10.7428689829	1.72601248022e-13
11.022039333	1.74820509776e-13
11.3018979175	1.76909194292e-13
11.6031631046	1.79093634808e-13
11.9129165115	1.81174949215e-13
12.2335937439	1.83249818504e-13
12.5563830004	1.85159699332e-13
12.9143556248	1.87341654757e-13
13.2677168087	1.89215113233e-13
13.6447580749	1.91143448587e-13
14.036547476	1.93056387024e-13
14.4442095322	1.94895673598e-13
14.8629586723	1.96633905092e-13
15.2919488909	1.9832008694e-13
15.7547719184	2.00066881027e-13
16.2340046889	2.0171729651e-13
16.7275845555	2.03258961521e-13
17.2415037225	2.04832231266e-13
17.7912410447	2.06513069983e-13
18.3480173979	2.07938808959e-13
18.9160709324	2.09224769312e-13
19.5163088957	2.10541071453e-13
20.1418257118	2.11800550218e-13
20.797761974	2.13024757919e-13
21.4816122559	2.14225263255e-13
