% [k13] 
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	0
0.522238341849	0
0.622902408171	0
0.733601346462	0
0.859588664742	1.57839511998e-22
1.00955963517	2.58102991158e-21
1.19592332247	2.24924756737e-20
1.42941655824	1.21063179271e-19
1.70921504014	4.49533832789e-19
2.02136574951	1.26238621104e-18
2.34496542084	2.85979990435e-18
2.66050278874	5.51252440844e-18
2.95683541499	9.42219458065e-18
3.23000345936	1.47484323344e-17
3.47842796915	2.15672007778e-17
3.70588798621	2.99109859735e-17
3.91499046216	3.98070448916e-17
4.10836669394	5.12346474939e-17
4.29078211498	6.43212916401e-17
4.46180877456	7.88749440902e-17
4.62603974303	9.48515671385e-17
4.78360391325	1.12455193637e-16
4.93703419255	1.31366531919e-16
5.08637102087	1.51612454644e-16
5.23346754452	1.73152411671e-16
5.37908732696	1.961213346e-16
5.52226917185	2.19996882744e-16
5.66644639581	2.45221157042e-16
5.80968043376	2.71320675015e-16
5.95427373713	2.9841203988e-16
6.09862121964	3.26379095255e-16
6.2447103458	3.55143854743e-16
6.39402371485	3.84961193403e-16
6.54408814235	4.15106663578e-16
6.69710615488	4.45862583803e-16
6.84956906189	4.7662765103e-16
7.00928141074	5.08791786953e-16
7.17097887006	5.40747493198e-16
7.33617033419	5.7300602729e-16
7.50449579219	6.05343026164e-16
7.67741027063	6.37940252657e-16
7.85444004651	6.70508691647e-16
8.03481737707	7.02761860932e-16
8.22293235551	7.35557509104e-16
8.416120857	7.67879757613e-16
8.61563594945	8.00462998383e-16
8.81403689504	8.31435009503e-16
9.02706533859	8.63267158172e-16
9.24467040556	8.9438207271e-16
9.49547252404	9.27531993972e-16
9.69671257662	9.54452582603e-16
9.96806032135	9.8726008471e-16
10.2204907302	1.01703241966e-15
10.474651148	1.04395659921e-15
10.7428689829	1.07199355709e-15
11.022039333	1.09909356269e-15
11.3018979175	1.12364824093e-15
11.6031631046	1.14908375759e-15
11.9129165115	1.17320821716e-15
12.2335937439	1.19613372503e-15
12.5563830004	1.2164865816e-15
12.9143556248	1.2396968133e-15
13.2677168087	1.25814334959e-15
13.6447580749	1.27707880343e-15
14.036547476	1.29557095179e-15
14.4442095322	1.31187871423e-15
14.8629586723	1.32634597601e-15
15.2919488909	1.33905765894e-15
15.7547719184	1.35301493927e-15
16.2340046889	1.36476708188e-15
16.7275845555	1.37436928069e-15
17.2415037225	1.38338363373e-15
17.7912410447	1.39262561887e-15
18.3480173979	1.39873386118e-15
18.9160709324	1.40288559162e-15
19.5163088957	1.40619845438e-15
20.1418257118	1.40859878527e-15
20.797761974	1.41036806575e-15
21.4816122559	1.4108568574e-15
