% [k1] Dissociative Recombination
% eV	1/(m^3*s)
0.0384444805172	7.5073506799e-14
0.0385403832069	7.51063398719e-14
0.0392000885323	7.54258517327e-14
0.0415522790951	7.59525655944e-14
0.047476791415	7.78174476718e-14
0.0599583522965	8.01687224661e-14
0.0840873685459	8.17172027987e-14
0.125957555506	8.05042993269e-14
0.186548660547	7.69104928213e-14
0.26011765289	7.1976914445e-14
0.341462918206	6.7031701479e-14
0.428818810648	6.24685769863e-14
0.522238341849	5.84227123971e-14
0.622902408171	5.48393108658e-14
0.733601346462	5.1645498712e-14
0.859588664742	4.87425261878e-14
1.00955963517	4.60326552529e-14
1.19592332247	4.34372076644e-14
1.42941655824	4.0932858453e-14
1.70921504014	3.85413516959e-14
2.02136574951	3.63454760987e-14
2.34496542084	3.44055127131e-14
2.66050278874	3.27448930054e-14
2.95683541499	3.13493797571e-14
3.23000345936	3.01893199079e-14
3.47842796915	2.92148727945e-14
3.70588798621	2.8390007708e-14
3.91499046216	2.76853125113e-14
4.10836669394	2.70706691119e-14
4.29078211498	2.65322705345e-14
4.46180877456	2.605223859e-14
4.62603974303	2.56202767443e-14
4.78360391325	2.52261088271e-14
4.93703419255	2.48627409941e-14
5.08637102087	2.45269397705e-14
5.23346754452	2.42123765176e-14
5.37908732696	2.39169232178e-14
5.52226917185	2.3636411083e-14
5.66644639581	2.33716991567e-14
5.80968043376	2.31163273769e-14
5.95427373713	2.28723249094e-14
6.09862121964	2.26345953319e-14
6.2447103458	2.24077344403e-14
6.39402371485	2.21877946103e-14
6.54408814235	2.19740565559e-14
6.69710615488	2.17656276441e-14
6.84956906189	2.15591333735e-14
7.00928141074	2.13622898488e-14
7.17097887006	2.11665056317e-14
7.33617033419	2.09742337408e-14
7.50449579219	2.07838857975e-14
7.67741027063	2.06011452248e-14
7.85444004651	2.04153133724e-14
8.03481737707	2.02355739558e-14
8.22293235551	2.00565836461e-14
8.416120857	1.98799751026e-14
8.61563594945	1.97103519049e-14
8.81403689504	1.95350079333e-14
9.02706533859	1.93615922533e-14
9.24467040556	1.9192233855e-14
9.49547252404	1.90425117261e-14
9.69671257662	1.88544281114e-14
9.96806032135	1.87117728353e-14
10.2204907302	1.85453744434e-14
10.474651148	1.83809521314e-14
10.7428689829	1.8215453265e-14
11.022039333	1.80540408363e-14
11.3018979175	1.78915742259e-14
11.6031631046	1.77269124331e-14
11.9129165115	1.75605298546e-14
12.2335937439	1.74029385574e-14
12.5563830004	1.72425807082e-14
12.9143556248	1.7084476198e-14
13.2677168087	1.69245482184e-14
13.6447580749	1.67625869053e-14
14.036547476	1.66015527139e-14
14.4442095322	1.64416928648e-14
14.8629586723	1.62820970068e-14
15.2919488909	1.61285294126e-14
15.7547719184	1.59661905645e-14
16.2340046889	1.58050198684e-14
16.7275845555	1.56414808953e-14
17.2415037225	1.5487136805e-14
17.7912410447	1.53328738724e-14
18.3480173979	1.51766466551e-14
18.9160709324	1.50175287411e-14
19.5163088957	1.48631144306e-14
20.1418257118	1.47083976272e-14
20.797761974	1.45486535205e-14
21.4816122559	1.43913240814e-14
