% [k20] 
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	0
0.522238341849	0
0.622902408171	0
0.733601346462	0
0.859588664742	0
1.00955963517	0
1.19592332247	0
1.42941655824	0
1.70921504014	0
2.02136574951	0
2.34496542084	1.95948628121e-20
2.66050278874	5.85607650732e-20
2.95683541499	1.46027168196e-19
3.23000345936	3.21408680309e-19
3.47842796915	6.38719094905e-19
3.70588798621	1.1675764363e-18
3.91499046216	1.99746615829e-18
4.10836669394	3.22627824494e-18
4.29078211498	4.99880228769e-18
4.46180877456	7.42627534919e-18
4.62603974303	1.06890700158e-17
4.78360391325	1.49396816093e-17
4.93703419255	2.03731856967e-17
5.08637102087	2.72244664921e-17
5.23346754452	3.559403419e-17
5.37908732696	4.58493478307e-17
5.52226917185	5.81911319052e-17
5.66644639581	7.27580796987e-17
5.80968043376	8.99212436182e-17
5.95427373713	1.09985578695e-16
6.09862121964	1.33026233166e-16
6.2447103458	1.59466294486e-16
6.39402371485	1.89688006076e-16
6.54408814235	2.23780109376e-16
6.69710615488	2.6229543074e-16
6.84956906189	3.04796911986e-16
7.00928141074	3.52578399787e-16
7.17097887006	4.05634712621e-16
7.33617033419	4.63943429029e-16
7.50449579219	5.27949169878e-16
7.67741027063	5.98375346239e-16
7.85444004651	6.75795248573e-16
8.03481737707	7.58663294708e-16
8.22293235551	8.49711916466e-16
8.416120857	9.47641356038e-16
8.61563594945	1.05432061799e-15
8.81403689504	1.16761530638e-15
9.02706533859	1.29094018895e-15
9.24467040556	1.42190080502e-15
9.49547252404	1.57499847969e-15
9.69671257662	1.71185256641e-15
9.96806032135	1.88817344198e-15
10.2204907302	2.06120248334e-15
10.474651148	2.24170135003e-15
10.7428689829	2.43479384453e-15
11.022039333	2.63996544629e-15
11.3018979175	2.85194514217e-15
11.6031631046	3.08069479058e-15
11.9129165115	3.32211583661e-15
12.2335937439	3.57284986652e-15
12.5563830004	3.83185635025e-15
12.9143556248	4.11942417733e-15
13.2677168087	4.40684478944e-15
13.6447580749	4.71287081653e-15
14.036547476	5.03000597518e-15
14.4442095322	5.36301486491e-15
14.8629586723	5.70730491765e-15
15.2919488909	6.05776709349e-15
15.7547719184	6.43350871189e-15
16.2340046889	6.82382369392e-15
16.7275845555	7.22495181578e-15
17.2415037225	7.63648218206e-15
17.7912410447	8.08122925618e-15
18.3480173979	8.52231025609e-15
18.9160709324	8.96932915982e-15
19.5163088957	9.43433637421e-15
20.1418257118	9.91409463279e-15
20.797761974	1.04108711848e-14
21.4816122559	1.09196513513e-14
