% [k16] 
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	0
0.522238341849	0
0.622902408171	0
0.733601346462	0
0.859588664742	0
1.00955963517	0
1.19592332247	0
1.42941655824	0
1.70921504014	0
2.02136574951	0
2.34496542084	0
2.66050278874	0
2.95683541499	0
3.23000345936	0
3.47842796915	4.16416125868e-26
3.70588798621	1.51345623523e-25
3.91499046216	4.69312092036e-25
4.10836669394	1.2823671509e-24
4.29078211498	3.17332674844e-24
4.46180877456	7.19199075795e-24
4.62603974303	1.5088764509e-23
4.78360391325	2.96272314809e-23
4.93703419255	5.50112753951e-23
5.08637102087	9.71929506225e-23
5.23346754452	1.63940878546e-22
5.37908732696	2.66031304767e-22
5.52226917185	4.1675724056e-22
5.66644639581	6.31625492636e-22
5.80968043376	9.32520770526e-22
5.95427373713	1.34143154548e-21
6.09862121964	1.88467203432e-21
6.2447103458	2.59504210225e-21
6.39402371485	3.50030724449e-21
6.54408814235	4.65186190199e-21
6.69710615488	6.07594108872e-21
6.84956906189	7.81246862107e-21
7.00928141074	9.9328400236e-21
7.17097887006	1.24519260437e-20
7.33617033419	1.54322686569e-20
7.50449579219	1.893230442e-20
7.67741027063	2.30024562763e-20
7.85444004651	2.77018433398e-20
8.03481737707	3.30183919498e-20
8.22293235551	3.90893168047e-20
8.416120857	4.59163102381e-20
8.61563594945	5.36186100911e-20
8.81403689504	6.20420678361e-20
9.02706533859	7.14737613966e-20
9.24467040556	8.17797405155e-20
9.49547252404	9.41022584051e-20
9.69671257662	1.05327800621e-19
9.96806032135	1.20020155183e-19
10.2204907302	1.34599433626e-19
10.474651148	1.50038166891e-19
10.7428689829	1.66652158729e-19
11.022039333	1.84430975559e-19
11.3018979175	2.02847006305e-19
11.6031631046	2.22785160993e-19
11.9129165115	2.43743501305e-19
12.2335937439	2.65539479362e-19
12.5563830004	2.87898953799e-19
12.9143556248	3.12463004469e-19
13.2677168087	3.3691664093e-19
13.6447580749	3.62585195444e-19
14.036547476	3.88895802821e-19
14.4442095322	4.16113181605e-19
14.8629586723	4.43760984909e-19
15.2919488909	4.71422880693e-19
15.7547719184	5.00555880951e-19
16.2340046889	5.30199238494e-19
16.7275845555	5.59726112205e-19
17.2415037225	5.89348182633e-19
17.7912410447	6.20540859008e-19
18.3480173979	6.50639761174e-19
18.9160709324	6.80120890028e-19
19.5163088957	7.09658976533e-19
20.1418257118	7.39282459201e-19
20.797761974	7.69041747968e-19
21.4816122559	7.9820672595e-19
