% [k18] 
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	0
0.522238341849	0
0.622902408171	0
0.733601346462	0
0.859588664742	0
1.00955963517	0
1.19592332247	0
1.42941655824	0
1.70921504014	2.36709485911e-23
2.02136574951	1.2478592133e-22
2.34496542084	7.11055932861e-22
2.66050278874	2.48923420922e-21
2.95683541499	7.17734190368e-21
3.23000345936	1.79935912789e-20
3.47842796915	3.98519370502e-20
3.70588798621	8.02393260907e-20
3.91499046216	1.49174494515e-19
4.10836669394	2.59136668559e-19
4.29078211498	4.2764961413e-19
4.46180877456	6.71479683546e-19
4.62603974303	1.01486719478e-18
4.78360391325	1.47998839384e-18
4.93703419255	2.09501989396e-18
5.08637102087	2.89014886509e-18
5.23346754452	3.89044570969e-18
5.37908732696	5.13939481948e-18
5.52226917185	6.6731815945e-18
5.66644639581	8.50967523358e-18
5.80968043376	1.07005766408e-17
5.95427373713	1.32931855022e-17
6.09862121964	1.63005090384e-17
6.2447103458	1.97777900752e-17
6.39402371485	2.37750173678e-17
6.54408814235	2.83154474756e-17
6.69710615488	3.3472122034e-17
6.84956906189	3.91844716493e-17
7.00928141074	4.56186857825e-17
7.17097887006	5.27928418873e-17
7.33617033419	6.06947520843e-17
7.50449579219	6.93791909455e-17
7.67741027063	7.89610511495e-17
7.85444004651	8.94993493011e-17
8.03481737707	1.00773051909e-16
8.22293235551	1.13186544564e-16
8.416120857	1.26541632963e-16
8.61563594945	1.41069558729e-16
8.81403689504	1.56533172955e-16
9.02706533859	1.73328523509e-16
9.24467040556	1.91191147861e-16
9.49547252404	2.1204157432e-16
9.69671257662	2.30697324284e-16
9.96806032135	2.54692870075e-16
10.2204907302	2.78233675363e-16
10.474651148	3.02802434329e-16
10.7428689829	3.29034095813e-16
11.022039333	3.56922307841e-16
11.3018979175	3.85702753289e-16
11.6031631046	4.16764775953e-16
11.9129165115	4.49537466985e-16
12.2335937439	4.83519484464e-16
12.5563830004	5.18642985227e-16
12.9143556248	5.57583949079e-16
13.2677168087	5.96514955718e-16
13.6447580749	6.37931996798e-16
14.036547476	6.80819978518e-16
14.4442095322	7.25875274102e-16
14.8629586723	7.72414240102e-16
15.2919488909	8.19739553512e-16
15.7547719184	8.70492637615e-16
16.2340046889	9.23213087812e-16
16.7275845555	9.77352040164e-16
17.2415037225	1.03286827169e-15
17.7912410447	1.0928732799e-15
18.3480173979	1.1523387581e-15
18.9160709324	1.21257131015e-15
19.5163088957	1.2752332851e-15
20.1418257118	1.33987543722e-15
20.797761974	1.40678160369e-15
21.4816122559	1.47525459959e-15
